nl_template,sql_template,sql,ANSWER,MIMIC TABLES USED,DESCRIPTION,TASK FOR YOU GUYS,
How many patients suffer from PROBLEM_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'),"select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN ('24960','9623','24930','24981','24901','V1221','24991','7751','24920','7750','24990','24950','36204','V180','36229','24911','24940','36203','24961','24941','24910','5881','24980','36206','24971','36201','24951','24970','36205','V771','25511','E9323','24900','3572','24931','36202','24921')",,,,,
How many patients have PROBLEM_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'),,,,,,
How many PROBLEM_1 patients have been admitted,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'),,"select count(distinct subject_id) from DRGCODES where drg_code IN ('638', '637', '295', '294', '639')",DIAGNOSES_ICD,DRG used (billed for diabetes),,637 638
How many patients have been administered TREATMENT_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%',select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Januvia%',,,,,
How many patients have been given TREATMENT_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%',,,,,,
What problems did patients given TREATMENT_1 suffer from,select diagnosis from ADMISSIONS where ADMISSIONS.hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_1%'),select dignosis from ADMISSIONS where ADMISSIONS.hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%Januvia%'),,,,,
Which problems are treated with TREATMENT_1 ,select diagnosis from ADMISSIONS where ADMISSIONS.hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_1%'),,,,,,
Which drugs are used to treat PROBLEM_1,"select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))","select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN ('24960','9623','24930','24981','24901','V1221','24991','7751','24920','7750','24990','24950','36204','V180','36229','24911','24940','36203','24961','24941','24910','5881','24980','36206','24971','36201','24951','24970','36205','V771','25511','E9323','24900','3572','24931','36202','24921'))",V1582 is drg for history of smoking,,,,
Which drugs are administered to treat PROBLEM_1,"select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))",,,,,,
Which treatments are used to cure PROBLEM_1,"select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))",,,,,,
Which treatments are used for PROBLEM_1,"select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))",,,,,,
Which drugs were PROBLEM_1 patients given,"select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))",,,,,,
Which drugs were patients suffering from PROBLEM_1 given,"select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))",,,,,,
How many patients were given TREATMENT_1 and TREATMENT_2,select count(distinct hadm_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and hadm_id IN(select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_2%'),select distinct hadm_id from PRESCRIPTIONS where drug like '%Tamoxifen%' and hadm_id IN(select distinct hadm_id from PRESCRIPTIONS where drug like '%Warfarin%'),,,,,
Which patients were given TREATMENT_1 and TREATMENT_2,select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_1%' and hadm_id IN(select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_2%'),,Social Work Admission Note,NOTEEVENTS,"1,106 notes of this type",,
How many times were TREATMENT_1 and TREATMENT_2 administered together,select count(distinct hadm_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and hadm_id IN(select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_2%'),,202,DRG CODES,,,
How many times were TREATMENT_1 and TREATMENT_2 given together,select count(distinct hadm_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and hadm_id IN(select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_2%'),,,,,,
