nl,nl_template,sql,sql_template
How many patients suffer from Diabetes,How many patients suffer from PROBLEM_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%'),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')
How many patients suffer from heart failure,How many patients suffer from PROBLEM_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%'),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')
How many patients have Diabetes,How many patients have PROBLEM_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%'),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')
How many patients have heart failure,How many patients have PROBLEM_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%'),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')
How many Diabetes patients have been admitted,How many PROBLEM_1 patients have been admitted,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%'),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')
How many heart failure patients have been admitted,How many PROBLEM_1 patients have been admitted,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%'),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')
How many patients have been administered Januvia,How many patients have been administered TREATMENT_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Januvia%',select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%'
How many patients have been administered Digoxin,How many patients have been administered TREATMENT_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Digoxin%',select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%'
How many patients have been given Januvia,How many patients have been given TREATMENT_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Januvia%',select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%'
How many patients have been given Digoxin,How many patients have been given TREATMENT_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Digoxin%',select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%'
