nl_template,sql_template
How many patients suffer from PROBLEM_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')
How many patients have PROBLEM_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')
How many PROBLEM_1 patients have been admitted,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')
How many patients have been administered TREATMENT_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%'
How many patients have been given TREATMENT_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%'
What problems did patients given TREATMENT_1 suffer from,select diagnosis from ADMISSIONS where ADMISSIONS.hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_1%')
Which problems are treated with TREATMENT_1 ,select diagnosis from ADMISSIONS where ADMISSIONS.hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_1%')
Which drugs are used to treat PROBLEM_1,"select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))"
Which drugs are administered to treat PROBLEM_1,"select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))"
Which treatments are used to cure PROBLEM_1,"select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))"
Which treatments are used for PROBLEM_1,"select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))"
Which drugs were PROBLEM_1 patients given,"select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))"
Which drugs were patients suffering from PROBLEM_1 given,"select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))"
How many patients were given TREATMENT_1 and TREATMENT_2,select count(distinct hadm_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and hadm_id IN(select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_2%')
Which patients were given TREATMENT_1 and TREATMENT_2,select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_1%' and hadm_id IN(select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_2%')
How many times were TREATMENT_1 and TREATMENT_2 administered together,select count(distinct hadm_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and hadm_id IN(select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_2%')
How many times were TREATMENT_1 and TREATMENT_2 given together,select count(distinct hadm_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and hadm_id IN(select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_2%')
How many patients suffering from PROBLEM_1 been given TREATMENT_1,"select count(distinct hadm_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_1%') 
"
How many PROBLEM_1 patients have been given TREATMENT_1,"select count(distinct hadm_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_1%') 
"
